Date,Time,Opponent,Location,Distance from MACU
21/08/25,1:00 PM,LSU Shreveport,"Shreveport, La.",385
23/08/25,7:30 PM,McPherson (Kan.),Dill Soccer Field,19
28/08/25,6:00 PM,Benedictine (Kan.),"Atchison, Kan.",360
30/08/25,3:30 PM,MidAmerica Nazarene (Kan.),"Olathe, Kan.",340
04/09/25,7:00 PM,St. Thomas (Fla.),"Miami Gardens, Fla.",1511
06/09/25,11:00 AM,Keiser (Fla.),"West Palm Beach, Fla.",1460
11/09/25,7:30 PM,Oklahoma Wesleyan,Dill Soccer Field,19
15/09/25,5:30 PM,Columbia (Mo.),Dill Soccer Field,19
20/09/25,7:30 PM,Oklahoma Christian,Dill Soccer Field,19
27/09/25,7:30 PM,Oklahoma City,Oklahoma City (A),12
30/09/25,7:30 PM,Wayland Baptist (Texas),"Plainview, Texas",300
04/10/25,7:30 PM,Science & Arts (Okla.),Dill Soccer Field,19
07/10/25,7:30 PM,Nelson (Texas),Dill Soccer Field,19
11/10/25,3:30 PM,Southwestern Christian (Okla.),"Bethany, Okla.",16
18/10/25,3:30 PM,Central Christian (Kan.),"McPherson, Kan.",227
20/10/25,7:30 PM,Oklahoma Panhandle State,Dill Soccer Field,19
25/10/25,7:00 PM,John Brown (Ark.),"Siloam Springs, Ark.",200
28/10/25,7:30 PM,Texas Wesleyan,Dill Soccer Field,19
04/11/25,TBA,SAC Quarterfinal,"TBA (home if finish 1-4 in SAC, away if 5-8)",
07/11/25,TBA,SAC Semifinal,TBA (played at highest seed),
10/11/25,TBA,SAC Championship,TBA (played at highest seed),
11/20-22/2025,TBA,NAIA First & Second Round,TBA (played at regional sites),
12/1-8/2025,TBA,NAIA National Championships,"Orange Beach, Ala. (if advance out of NAIA 1st & 2nd Round)",840
12/1-6/2025,TBA,NCCAA National Championships,"Kissimmee, Fla. (Will play if don't qualify for the NAIA Tournament)",1310
,,,,
,,,,
,,,,
,,,,
,,,,
2025 MACU Men's Soccer Schedule,,,,