Date,Time,Meet,Location,Distance from MACU
04/09/25,10/10:30 PM,RSU Distance After Dark,"Tulsa, Okla.",118
11/09/25,TBA,MSU Mustang Derby,"Wichita Falls, Texas",127
20/09/25,TBA,MSSU Southern Stampede,"Joplin, Mo.",229
11/10/25,TBA,JBU Golden Eagle Invitational,"Siloam Springs, Ark.",200
08/11/25,TBA,SAC Championships,"Siloam Springs, Ark.",200
14/11/25,TBA,NCCAA National Championships,"Joplin, Mo.",230
21/11/25,TBA,NAIA National Championships,"Talahassee, Fla.",1007
,,,,
,,,,
,,,,
,,,,
2025-26 Cross Country/Track & Field Schedule,,,,